ID;TYPE;FRACTURE;FINECRAZING;DEEPCRACKING;COLORCHANGES;CARBONDEPOSITION;CONCRETIONS;WEIGHT
A1-487;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;111
A1-460;FCR;BOTH;NA;FALSE;NA;TRUE;TRUE;34
A1-465;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;21
A1-474;FCR;BOTH;NA;FALSE;NA;FALSE;TRUE;11
A1-483;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;113
A1-455;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;29
A1-443;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;66
A1-462;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;65
A1-493;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;39
A1-509;FCR;SMOOTH;NA;FALSE;NA;FALSE;TRUE;30
A6-2739;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;16
A6-2742;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;31
A6-2745;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;17
A6-2741;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;140
A6-2714;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;33
A6-2734;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;22
A6-2722;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;10
A6-2731;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;14
A6-2746;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;26
A6-2733;FCR;BOTH;NA;FALSE;DISCOLORATION;FALSE;FALSE;28
A6-2744;FCR;BOTH;NA;FALSE;NA;FALSE;FALSE;31
L6-258;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;30
L6-299;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;23
F4-660;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;21
F4-638;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;72
